Sample ID,H₂,CH₄,C₂H₆,C₂H₄,C₂H₂,CO,CO₂,State,State Name
82,20.03,11.56,4.36,28.38,1.55,346.81,3367.71,0,Very Good
83,12.84,9.32,4.96,21.98,0.75,241.93,3530.19,0,Very Good
84,15.61,7.51,5.58,18.53,0.7,207.85,1987.37,0,Very Good
85,17.07,12.93,9.07,26.19,1.12,123.11,1404.05,0,Very Good
86,17.13,11.28,5.72,15.77,1.09,362.62,2455.57,0,Very Good
87,31.79,10.48,9.43,29.19,0.87,313.49,2080.53,0,Very Good
88,21.16,7.68,5.28,35.88,1.25,223.47,2313.76,0,Very Good
89,16.33,11.95,7.17,26.91,0.85,207.7,1494.55,0,Very Good
90,17.25,8.56,6.52,21.62,1.37,192.89,1458.68,0,Very Good
91,27.61,6.68,4.63,16.82,0.71,181.16,1384.37,0,Very Good
92,15.07,10.24,7.54,32.43,0.94,236.43,2928.09,0,Very Good
93,28.15,14.01,8.28,38.21,1.55,264.73,1775.26,0,Very Good
94,14.9,9.93,6.24,28.5,0.82,261.84,2929.89,0,Very Good
95,18.74,9.44,6.23,15.54,1.21,103.66,1059.17,0,Very Good
96,28.55,11.68,9.61,31.17,1.61,283.1,2269.65,0,Very Good
97,27.88,9.88,7.99,25.14,1.12,290.78,2677.91,0,Very Good
98,26.7,8.61,7.43,22.83,1.02,383.89,3196.21,0,Very Good
99,16.19,8.23,6.19,18.16,0.78,220.85,2610.23,0,Very Good
100,14.79,10.71,8.62,29.43,0.92,206.01,2089.76,0,Very Good
101,37.34,14.87,13.49,45.34,1.55,352.24,3077.58,0,Very Good
102,19.19,10.1,7.53,24.51,0.6,100.0,1543.4,0,Very Good
103,14.04,5.48,3.15,16.34,0.63,201.35,2450.15,0,Very Good
104,23.51,12.84,8.3,27.27,1.29,200.3,2031.61,0,Very Good
105,12.2,8.54,9.54,27.82,0.86,225.29,2618.02,0,Very Good
106,17.76,7.06,5.57,21.47,0.93,174.0,1885.05,0,Very Good
107,25.09,13.65,10.17,26.23,1.57,332.83,3350.83,0,Very Good
108,23.47,15.49,10.45,49.37,1.12,339.55,2843.09,0,Very Good
109,18.71,8.05,5.84,37.59,1.09,207.44,630.65,0,Very Good
110,19.93,10.58,7.6,44.95,1.06,283.42,1576.82,0,Very Good
111,14.65,10.47,7.71,41.67,0.7,233.17,3405.61,0,Very Good
112,13.32,11.76,9.72,22.96,1.01,195.63,1688.07,0,Very Good
113,23.08,8.08,5.91,17.05,1.11,172.83,1748.18,0,Very Good
114,19.99,10.63,4.9,33.85,0.83,285.5,2337.87,0,Very Good
115,19.49,7.02,7.8,23.38,1.1,250.39,1770.71,0,Very Good
116,18.06,11.84,6.56,28.12,0.68,171.83,2466.43,0,Very Good
117,22.47,8.95,4.74,8.93,0.65,192.86,2714.62,0,Very Good
118,19.54,10.7,7.52,15.42,0.56,242.22,2114.0,0,Very Good
119,24.45,14.75,6.77,29.21,0.81,232.1,2302.04,0,Very Good
120,27.84,9.08,8.38,39.82,0.77,270.89,2483.65,0,Very Good
121,16.1,12.9,7.73,24.96,1.12,227.79,1944.54,0,Very Good
122,16.69,3.62,0.65,21.62,0.79,225.17,2390.18,0,Very Good
123,4.9,2.75,4.46,13.98,0.92,333.52,2311.94,0,Very Good
124,25.47,14.76,10.61,30.05,1.4,231.65,3168.29,0,Very Good
125,21.5,4.37,3.14,14.12,0.79,215.19,2027.26,0,Very Good
126,24.31,8.11,10.24,29.13,1.1,330.68,3089.74,0,Very Good
127,17.3,8.4,7.17,31.24,0.73,163.1,1944.47,0,Very Good
128,25.57,8.08,6.46,34.78,1.34,319.91,3081.99,0,Very Good
129,23.37,13.95,10.35,33.49,1.34,352.45,1506.11,0,Very Good
130,23.08,11.64,8.48,24.61,1.29,128.01,2499.05,0,Very Good
131,19.28,7.73,4.83,24.13,1.09,190.67,1388.78,0,Very Good
132,11.14,5.31,2.78,14.34,0.74,203.77,2606.9,0,Very Good
133,28.72,8.44,7.29,25.75,1.11,228.58,2676.54,0,Very Good
134,23.72,13.99,6.69,20.11,0.72,315.74,3472.24,0,Very Good
135,18.56,4.39,4.58,25.58,1.17,110.82,2076.01,0,Very Good
136,17.99,9.07,6.55,16.25,1.41,341.58,1794.47,0,Very Good
137,25.23,14.81,11.14,33.16,1.17,398.18,3765.7,0,Very Good
138,18.28,11.01,5.66,17.15,1.17,261.69,1584.08,0,Very Good
139,15.12,9.21,6.65,31.79,0.78,146.94,2137.62,0,Very Good
140,11.43,4.34,2.84,15.58,0.98,386.64,2063.81,0,Very Good
141,18.52,7.33,6.05,28.22,0.68,438.96,3502.8,0,Very Good
142,14.42,7.92,5.54,29.17,1.19,191.03,1461.56,0,Very Good
143,20.56,5.55,4.11,25.94,1.4,115.83,1976.81,0,Very Good
144,8.01,7.02,9.53,22.65,0.86,109.76,1696.61,0,Very Good
145,19.2,6.06,4.8,25.61,0.93,321.89,1903.47,0,Very Good
146,29.96,11.57,6.7,38.53,0.76,188.48,1851.98,0,Very Good
147,22.47,12.48,6.41,26.26,0.78,200.41,1896.59,0,Very Good
148,26.98,12.98,5.15,30.03,1.58,296.84,2882.14,0,Very Good
149,23.39,9.98,6.15,21.24,0.61,293.91,2561.22,0,Very Good
150,16.29,7.2,5.8,24.28,0.76,265.95,2779.59,0,Very Good
151,37.45,14.3,8.31,32.73,1.34,204.43,1828.37,0,Very Good
152,10.08,8.39,1.86,24.79,0.71,382.5,3337.97,0,Very Good
153,24.5,11.22,8.03,37.88,0.87,174.98,1122.29,0,Very Good
154,18.02,12.71,10.41,20.22,0.97,316.36,1726.76,0,Very Good
155,9.68,7.42,5.59,26.77,0.81,335.68,3674.43,0,Very Good
156,13.49,11.61,7.83,28.05,0.84,293.85,2200.86,0,Very Good
157,7.47,7.06,4.77,19.81,0.77,85.85,1768.03,0,Very Good
158,25.47,13.65,9.19,26.46,1.48,239.34,2829.19,0,Very Good
159,20.81,11.06,7.76,28.76,1.06,162.46,2670.02,0,Very Good
160,18.22,7.53,6.09,17.95,0.92,199.2,2474.64,0,Very Good
161,16.45,11.16,6.93,32.05,0.91,351.7,3950.33,0,Very Good
162,12.11,3.96,3.13,12.85,0.86,207.48,1283.21,0,Very Good
163,16.44,7.55,4.7,18.92,0.75,305.6,3506.04,0,Very Good
164,29.65,10.87,5.73,18.57,0.77,239.06,2041.54,0,Very Good
165,23.97,15.65,7.91,21.5,1.25,247.98,2358.69,0,Very Good
166,12.92,9.01,4.71,15.9,0.75,196.84,3117.92,0,Very Good
167,25.33,7.06,3.76,22.45,0.54,205.68,3477.97,0,Very Good
168,11.99,12.54,7.69,24.64,0.96,193.91,2262.97,0,Very Good
169,24.84,7.05,9.22,23.34,1.34,217.58,2002.82,0,Very Good
170,19.5,10.96,5.76,36.24,1.73,152.71,1115.16,0,Very Good
171,27.08,12.87,11.53,25.19,1.11,235.01,2362.41,0,Very Good
172,18.26,8.07,7.13,21.16,1.07,240.68,2717.98,0,Very Good
173,17.71,9.22,6.43,20.71,0.77,132.09,1369.1,0,Very Good
174,16.19,11.26,11.46,27.52,0.72,247.28,2422.99,0,Very Good
175,20.87,10.21,10.71,18.32,0.56,170.41,1713.51,0,Very Good
176,22.13,11.52,9.7,20.34,0.83,349.88,2822.62,0,Very Good
177,27.04,6.49,4.2,14.12,1.07,357.84,3037.28,0,Very Good
178,14.58,8.92,6.75,24.91,0.59,313.82,1974.28,0,Very Good
179,16.76,11.28,3.93,18.34,0.88,286.69,1935.16,0,Very Good
180,22.96,11.72,4.37,31.37,1.01,178.71,2498.32,0,Very Good
181,25.56,11.41,7.06,38.5,0.78,274.94,2432.56,0,Very Good
182,28.47,9.3,7.19,35.89,1.1,248.36,3095.57,0,Very Good
183,17.06,10.11,8.93,21.91,0.58,142.57,1836.88,0,Very Good
184,28.04,10.83,7.73,15.1,1.66,333.47,3125.11,0,Very Good
185,18.04,8.71,8.87,31.42,0.67,155.28,2475.33,0,Very Good
186,15.22,17.53,9.08,39.26,0.88,337.91,3363.34,0,Very Good
187,20.92,17.63,14.98,36.01,0.81,326.85,4466.02,0,Very Good
188,25.23,15.48,8.8,26.54,0.61,260.9,2929.4,0,Very Good
189,23.3,9.38,2.99,15.01,1.13,219.35,1804.12,0,Very Good
190,18.33,7.99,10.26,20.44,0.59,147.74,1547.87,0,Very Good
191,21.9,9.29,4.06,31.92,1.42,277.35,2525.59,0,Very Good
192,17.49,16.25,11.03,23.68,0.92,206.66,2006.43,0,Very Good
193,17.82,10.14,7.82,25.36,1.05,239.1,2904.18,0,Very Good
194,20.56,12.87,8.22,32.46,1.08,213.09,3171.47,0,Very Good
195,13.95,8.88,5.63,16.9,0.66,284.9,2918.21,0,Very Good
196,5.02,9.23,4.17,17.16,0.78,160.64,1773.95,0,Very Good
197,25.54,16.23,7.42,42.4,1.05,272.92,3081.1,0,Very Good
198,18.52,8.03,8.31,28.23,1.04,369.26,3228.45,0,Very Good
199,27.82,12.65,6.07,28.36,1.08,243.24,2486.86,0,Very Good
200,14.4,8.51,6.02,24.36,0.67,228.55,2349.38,0,Very Good
201,33.62,23.99,12.56,48.05,1.84,439.16,3985.72,1,Good
202,60.47,15.95,12.16,81.4,2.97,613.56,5667.86,1,Good
203,34.09,15.94,14.23,35.56,1.33,490.01,4531.76,1,Good
204,38.66,25.84,9.99,57.07,0.67,407.75,4893.57,1,Good
205,47.98,11.3,10.91,48.72,2.53,407.37,4398.28,1,Good
206,37.51,25.21,11.96,61.02,2.1,377.03,4361.37,1,Good
207,37.86,22.35,13.33,37.57,1.72,367.19,4821.21,1,Good
208,25.78,7.29,4.01,35.26,1.15,560.91,6205.54,1,Good
209,36.67,11.71,3.84,32.3,2.16,456.13,6246.62,1,Good
210,42.0,15.46,11.13,39.77,1.62,510.25,3819.35,1,Good
211,55.56,13.77,12.97,29.42,2.1,476.03,5340.21,1,Good
212,48.03,25.57,16.14,57.63,1.91,459.81,4692.91,1,Good
213,45.89,23.1,18.83,54.74,1.12,617.77,5228.2,1,Good
214,17.97,16.97,17.65,58.98,2.52,636.13,6393.66,1,Good
215,26.58,19.04,22.13,51.1,2.35,509.27,5113.4,1,Good
216,14.59,24.42,17.45,25.63,0.0,461.74,5465.91,1,Good
217,40.34,31.25,22.63,55.39,2.29,523.27,4104.11,1,Good
218,42.24,19.9,17.71,76.35,2.34,378.88,4329.69,1,Good
219,14.82,20.5,12.88,50.02,1.62,466.13,3823.23,1,Good
220,48.72,16.39,21.44,74.1,1.79,585.42,4716.1,1,Good
221,43.29,23.11,15.79,63.76,1.91,612.59,5949.54,1,Good
222,32.88,25.38,15.25,51.86,1.0,553.51,5368.46,1,Good
223,58.43,15.86,8.36,51.64,2.11,491.34,5348.82,1,Good
224,43.29,14.37,11.29,60.89,2.55,486.32,5160.8,1,Good
225,17.46,20.61,8.65,63.85,0.96,605.14,5427.37,1,Good
226,39.29,17.95,21.48,32.4,1.48,495.68,2924.38,1,Good
227,23.76,20.98,17.58,60.07,1.84,583.53,3945.02,1,Good
228,50.69,13.15,16.43,25.19,2.52,535.49,4479.39,1,Good
229,40.89,36.4,22.52,48.2,1.21,598.79,5040.27,1,Good
230,22.95,12.38,8.68,50.74,2.1,585.72,4731.92,1,Good
231,37.99,10.43,12.81,48.07,2.83,465.7,4301.71,1,Good
232,26.38,19.18,20.14,55.72,2.33,510.63,5673.02,1,Good
233,38.34,20.78,20.99,35.86,2.34,478.25,6152.57,1,Good
234,49.04,36.52,20.57,87.52,2.78,629.62,6689.14,1,Good
235,43.51,25.95,18.41,44.53,1.9,512.73,5697.46,1,Good
236,13.43,17.17,19.71,40.72,1.2,500.65,4476.7,1,Good
237,42.56,19.03,17.11,41.64,2.45,627.16,5858.8,1,Good
238,37.77,23.24,17.59,51.87,2.66,520.18,4214.56,1,Good
239,25.28,28.11,16.05,52.75,2.78,669.19,4390.05,1,Good
240,18.21,12.46,11.56,47.93,2.33,362.81,4352.22,1,Good
241,31.8,9.13,16.91,57.57,3.25,490.29,4894.16,1,Good
242,38.31,12.63,11.76,59.83,2.41,378.26,5331.82,1,Good
243,50.16,21.57,11.63,58.15,1.91,518.65,7273.37,1,Good
244,38.77,17.13,16.84,55.25,3.37,608.62,4592.84,1,Good
245,76.62,17.72,12.53,39.61,3.59,470.4,5922.58,1,Good
246,62.12,30.98,20.95,70.98,2.14,478.97,3927.41,1,Good
247,42.15,20.56,17.4,49.21,2.19,410.06,5713.18,1,Good
248,38.72,8.07,4.69,30.81,2.49,632.85,5557.28,1,Good
249,52.35,22.8,16.05,50.09,1.79,662.62,5058.5,1,Good
250,45.92,17.62,12.56,65.19,1.48,312.4,4615.63,1,Good
251,61.35,19.48,9.2,64.93,2.82,626.51,4478.3,1,Good
252,25.76,10.51,10.94,32.77,2.27,493.28,4469.74,1,Good
253,65.74,26.94,16.44,53.84,2.34,544.96,5123.83,1,Good
254,30.35,22.75,8.33,30.97,1.78,443.76,6040.73,1,Good
255,47.58,29.47,12.15,69.24,1.36,629.0,4718.28,1,Good
256,28.4,23.57,20.26,42.55,1.2,592.8,4796.18,1,Good
257,48.37,21.07,13.86,58.47,2.29,509.15,4408.37,1,Good
258,28.57,33.57,27.27,46.05,1.3,610.87,5943.37,1,Good
259,22.02,8.74,8.22,31.74,1.53,533.81,4762.57,1,Good
260,36.01,15.53,11.3,41.7,3.17,413.13,2877.02,1,Good
261,63.91,23.85,8.93,50.47,2.18,487.94,5324.61,1,Good
262,33.1,9.71,7.25,48.46,0.84,365.23,3940.54,1,Good
263,27.04,23.07,18.26,45.12,1.86,551.68,3078.49,1,Good
264,20.81,9.39,12.19,46.29,1.4,503.45,5396.0,1,Good
265,24.56,19.44,10.82,36.53,1.22,473.07,2970.18,1,Good
266,19.0,10.0,5.2,15.89,0.51,605.18,4849.88,1,Good
267,52.52,28.12,15.42,51.6,2.08,533.04,3239.78,1,Good
268,21.43,15.85,21.54,48.18,1.46,508.83,5370.09,1,Good
269,43.26,12.21,12.1,57.01,1.11,446.3,3590.38,1,Good
270,53.19,19.96,15.41,47.64,2.27,514.43,4262.34,1,Good
271,60.25,34.71,14.77,42.38,2.46,538.2,4949.44,1,Good
272,49.81,15.81,12.09,53.34,1.86,454.89,7518.94,1,Good
273,25.18,15.09,15.9,36.86,1.73,497.16,2522.49,1,Good
274,17.17,13.76,10.96,27.32,1.07,422.88,5849.27,1,Good
275,15.82,11.45,7.69,52.08,2.2,362.95,4911.21,1,Good
276,29.77,16.16,12.55,41.76,1.72,397.08,3925.87,1,Good
277,35.49,2.32,9.12,31.18,1.54,414.65,6245.19,1,Good
278,69.48,30.31,22.51,53.03,3.34,506.94,5664.59,1,Good
279,22.76,22.71,13.23,65.3,1.93,446.16,4272.6,1,Good
280,39.16,24.8,15.98,33.5,1.93,541.36,4603.73,1,Good
281,34.66,22.62,21.09,62.91,1.81,484.82,5942.49,1,Good
282,47.71,16.54,10.06,41.03,2.74,630.8,4968.9,1,Good
283,34.68,10.39,13.6,35.96,3.06,519.79,3071.04,1,Good
284,59.09,23.7,14.71,75.35,2.82,577.06,5444.55,1,Good
285,54.2,26.4,15.63,70.44,4.79,396.84,4130.32,1,Good
286,45.39,28.72,24.12,48.6,2.81,439.43,5003.8,1,Good
287,41.16,23.14,10.88,50.84,2.29,628.64,5340.75,1,Good
288,26.36,18.16,15.75,38.14,1.48,549.18,4789.99,1,Good
289,30.16,20.56,15.29,41.76,2.64,400.84,4701.33,1,Good
290,65.39,24.24,28.08,40.31,3.15,466.16,5451.15,1,Good
291,51.92,22.24,8.33,55.92,0.58,623.04,4647.02,1,Good
292,61.47,24.56,11.28,57.28,3.38,556.91,4338.59,1,Good
293,39.92,21.57,18.85,41.31,1.42,435.11,4310.55,1,Good
294,44.56,26.56,19.47,45.31,2.94,462.45,3667.29,1,Good
295,26.53,14.52,18.91,48.19,2.21,426.38,5091.87,1,Good
296,39.14,24.45,23.32,67.21,1.77,393.1,4318.28,1,Good
297,30.05,13.26,10.54,82.02,3.86,480.11,4141.94,1,Good
298,28.21,23.06,14.64,36.63,1.3,506.41,6481.42,1,Good
299,25.16,9.01,12.44,55.16,1.12,490.41,3892.62,1,Good
300,41.37,10.28,9.18,65.3,1.52,659.09,5206.63,1,Good
301,25.69,19.44,19.25,79.63,1.66,462.36,4195.64,1,Good
302,9.34,8.2,0.56,14.73,1.91,559.57,6125.68,1,Good
303,50.22,23.4,21.46,36.85,1.29,544.27,3536.2,1,Good
304,55.5,38.11,20.25,56.93,3.68,490.6,5128.42,1,Good
305,37.67,15.02,18.31,47.32,1.28,358.47,4292.43,1,Good
306,32.87,8.94,14.99,30.91,1.81,561.02,7002.04,1,Good
307,12.21,7.29,10.29,18.77,0.89,432.61,4158.92,1,Good
308,36.01,12.8,17.76,26.18,1.44,398.21,5840.94,1,Good
309,55.9,21.41,16.14,52.55,3.33,510.96,5418.83,1,Good
310,30.96,35.76,36.4,84.66,2.64,419.25,5310.13,1,Good
311,51.95,30.95,18.61,65.71,2.89,473.86,4695.38,1,Good
312,35.54,17.48,9.25,52.82,0.83,418.34,4749.56,1,Good
313,18.53,8.47,9.23,19.18,0.96,521.66,5528.34,1,Good
314,21.64,7.63,7.58,20.74,1.42,566.36,5165.21,1,Good
315,46.16,19.83,19.73,56.47,1.5,530.89,4878.97,1,Good
316,39.4,29.29,16.11,63.27,1.68,488.1,4859.11,1,Good
317,25.99,14.27,13.12,30.2,0.92,608.31,4420.0,1,Good
318,51.76,26.0,12.83,67.07,2.0,528.83,7059.09,1,Good
319,54.2,18.79,21.03,54.48,2.52,500.82,4083.8,1,Good
320,27.77,13.39,16.18,46.94,1.46,498.04,4298.24,1,Good
321,17.35,28.5,10.64,50.58,2.05,455.87,3542.13,1,Good
322,52.86,26.65,17.39,53.02,0.97,560.55,4272.49,1,Good
323,54.43,22.89,19.32,49.31,3.21,401.23,4899.98,1,Good
324,45.3,31.01,19.13,55.39,1.99,562.59,5409.42,1,Good
325,45.02,29.49,24.46,46.47,1.22,537.28,5465.43,1,Good
326,35.49,34.17,26.13,90.67,1.87,374.83,4441.97,1,Good
327,28.01,25.13,20.98,60.59,1.62,470.98,3863.47,1,Good
328,62.28,22.6,11.21,46.32,1.36,563.51,4910.83,1,Good
329,45.21,18.28,14.4,64.59,2.31,533.92,5478.66,1,Good
330,38.32,33.22,21.19,48.93,0.56,457.92,5588.34,1,Good
331,29.83,13.93,14.36,33.6,1.38,512.45,3681.68,1,Good
332,46.33,18.24,13.08,42.34,2.7,457.63,4875.15,1,Good
333,25.67,29.46,14.97,53.25,1.26,481.53,4467.53,1,Good
334,65.09,28.18,24.96,55.87,2.79,561.9,4311.49,1,Good
335,34.49,22.76,12.05,45.08,2.12,429.16,5741.65,1,Good
336,67.06,32.12,21.68,75.11,1.4,497.73,4422.42,1,Good
337,28.03,12.9,12.38,32.84,1.32,508.87,5555.42,1,Good
338,32.47,16.09,18.72,53.05,3.02,443.49,5139.69,1,Good
339,22.97,16.51,13.94,47.62,2.14,552.09,7005.8,1,Good
340,47.2,24.82,8.46,56.59,2.22,519.18,3825.58,1,Good
341,48.75,24.73,13.56,52.72,2.32,472.1,5762.96,1,Good
342,67.03,37.18,19.94,57.63,2.22,501.18,6027.38,1,Good
343,32.53,21.43,16.34,65.62,0.98,444.64,4226.21,1,Good
344,62.11,15.77,13.84,55.62,2.67,509.5,5146.0,1,Good
345,47.71,34.78,19.76,72.03,1.69,484.64,4792.98,1,Good
346,33.98,9.47,13.77,38.53,1.67,521.59,5542.23,1,Good
347,28.47,14.73,12.52,69.45,1.63,401.47,3817.89,1,Good
348,44.43,21.24,13.03,47.27,1.12,626.32,6224.47,1,Good
349,22.79,14.71,13.0,36.17,2.92,515.73,4901.21,1,Good
350,56.26,25.27,32.5,60.86,0.44,488.48,5692.71,1,Good
351,61.83,36.61,28.06,72.67,1.18,528.27,5912.35,1,Good
352,45.82,15.24,18.2,53.16,1.07,503.95,5451.43,1,Good
353,50.66,27.68,13.32,58.16,3.46,529.47,4292.79,1,Good
354,67.93,30.4,18.18,68.54,1.74,541.16,4967.48,1,Good
355,50.88,25.37,9.85,57.07,2.14,618.97,4355.71,1,Good
356,23.89,18.81,11.67,20.49,1.07,436.0,4497.38,1,Good
357,49.16,15.44,11.19,53.24,1.84,473.24,4297.79,1,Good
358,37.73,22.29,10.57,46.02,1.9,576.66,6488.64,1,Good
359,47.34,15.64,15.27,76.96,1.75,480.14,3897.14,1,Good
360,34.36,19.64,15.23,70.46,1.37,450.46,5225.0,1,Good
361,26.46,11.33,5.63,28.56,1.96,492.46,6054.61,1,Good
362,51.18,22.5,18.75,68.16,2.23,596.79,6213.55,1,Good
363,78.47,18.06,12.99,52.91,2.87,598.08,6460.87,1,Good
364,17.61,9.79,8.47,40.4,1.18,410.68,5300.66,1,Good
365,29.41,16.92,19.38,37.67,1.35,483.1,4942.77,1,Good
366,55.02,22.53,20.9,63.96,1.79,481.55,4503.75,1,Good
367,48.45,22.27,21.41,67.82,2.29,398.58,5287.14,1,Good
368,42.11,23.68,15.29,73.44,1.91,496.11,4400.71,1,Good
369,57.3,17.82,18.18,24.37,2.02,704.07,6267.65,1,Good
370,46.43,24.39,16.7,57.53,1.87,499.08,5655.63,1,Good
371,42.97,16.01,4.6,52.78,1.54,467.85,4568.37,1,Good
372,15.91,21.82,21.64,50.04,1.88,517.77,4969.09,1,Good
373,34.77,12.18,16.12,40.31,2.27,641.9,5219.65,1,Good
374,34.24,26.26,13.34,52.91,2.24,509.33,7011.55,1,Good
375,49.85,30.12,18.84,76.98,0.83,588.01,4389.81,1,Good
